question,option0,option1,option2,correctIndex,difficulty,era,region
"In 'Casablanca', what is the name of Rick's cafe?","Rick's Café Américain","The Blue Parrot","La Belle Aurore",0,"Easy","Golden Age","Domestic"
"Which Alfred Hitchcock film was shot to appear as one continuous take?","Rope","Rear Window","Vertigo",0,"Medium","Golden Age","Domestic"
"What was the first feature-length animated movie?","Snow White","Pinocchio","Fantasia",0,"Easy","Golden Age","Domestic"
"Which actress was known as the 'Swedish Sphinx'?","Greta Garbo","Ingrid Bergman","Anita Ekberg",0,"Easy","Golden Age","International"
"Who directed 'Jaws' (1975)?","Spielberg","Lucas","Coppola",0,"Easy","New Hollywood","Domestic"
"Despite playing a much older woman, Anne Bancroft was only 6 years older than her co-star in which 1967 classic?","The Graduate","Barefoot in the Park","The Apartment",0,"Medium","New Hollywood","Domestic"
"Burt Lancaster starred with Alain Delon in which 1963 Visconti epic?","The Leopard","Rocco and His Brothers","Senso",0,"Hard","New Hollywood","International"
"Which 1970s Japanese horror film features a carnivorous piano?","Hausu","Ring","Audition",0,"Medium","New Hollywood","International"
"Who directed the 1976 film 'Taxi Driver'?","Scorsese","De Palma","Friedkin",0,"Easy","New Hollywood","Domestic"
"Which lens did Kubrick use for 'Barry Lyndon' NASA shots?","Zeiss f/0.7","Cooke S4","Arri Signature",0,"Director Cut","New Hollywood","International"
"Tarkovsky's 'Stalker' was filmed in which country?","Estonia","Russia","Latvia",0,"Director Cut","New Hollywood","International"
"Which 1960 Hitchcock film changed cinema with its shower scene?","Psycho","The Birds","Marnie",0,"Easy","New Hollywood","Domestic"
"Who played Michael Corleone in 'The Godfather'?","Al Pacino","Robert De Niro","Dustin Hoffman",0,"Easy","New Hollywood","Domestic"
"Which 1979 film features the tagline 'In space no one can hear you scream'?","Alien","Star Wars","Solaris",0,"Easy","New Hollywood","Domestic"
"In which 1986 film does Tom Cruise play a fighter pilot?","Top Gun","Cocktail","Legend",0,"Easy","80s","Domestic"
"Tom Cruise played a pool shark in which 1986 Scorsese film?","The Color of Money","Rain Man","Risky Business",0,"Medium","80s","Domestic"
"Which 1985 Rom-Com stars Molly Ringwald and a 'Brat Pack' cast?","The Breakfast Club","Pretty in Pink","Sixteen Candles",2,"Easy","80s","Domestic"
"Katsuhiro Otomo directed which 1988 cyberpunk masterpiece?","Akira","Ghost in the Shell","Paprika",0,"Medium","80s","International"
"Which 1987 Japanese film follows a 'Food Western' about noodles?","Tampopo","High and Low","Ran",0,"Hard","80s","International"
"Which 1982 sci-fi film features a 'Voight-Kampff' test?","Blade Runner","Tron","The Thing",0,"Medium","80s","Domestic"
"Who directed 'The Shining' (1980)?","Stanley Kubrick","John Carpenter","Wes Craven",0,"Easy","80s","Domestic"
"Which 1985 Soviet film is widely considered one of the greatest war movies?","Come and See","Stalker","The Ascent",0,"Director Cut","80s","International"
"Which 1995 Jane Austen adaptation stars Alicia Silverstone (modernized)?","Clueless","Emma","Sense and Sensibility",0,"Easy","90s","Domestic"
"Ang Lee directed which 1995 Austen adaptation?","Sense and Sensibility","Persuasion","Mansfield Park",0,"Medium","90s","Domestic"
"Tom Cruise starred as Ethan Hunt for the first time in which year?","1996","1994","1998",0,"Medium","90s","Domestic"
"Which 1990 Rom-Com features Richard Gere and Julia Roberts?","Pretty Woman","Notting Hill","Runaway Bride",0,"Easy","90s","Domestic"
"Which 1997 Japanese film is a psychological thriller about an idol?","Perfect Blue","Cure","Hana-bi",0,"Hard","90s","International"
"Tom Cruise stars in which 1999 Kubrick film?","Eyes Wide Shut","Magnolia","The Firm",0,"Medium","90s","Domestic"
"Which 1994 film features a box of chocolates?","Forrest Gump","Speed","The Mask",0,"Easy","90s","Domestic"
"Who directed the 'Three Colors' trilogy?","Kieslowski","Godard","Truffaut",0,"Medium","90s","International"
"What is the runtime of 'Sátántangó'?","Over 7 hours","4 hours","6 hours",0,"Director Cut","90s","International"
"In 'Toy Story', who is Buzz Lightyear's best friend?","Woody","Rex","Slinky",0,"Easy","90s","Domestic"
"Which 1992 Tarantino film involves a diamond heist gone wrong?","Reservoir Dogs","Pulp Fiction","Jackie Brown",0,"Medium","90s","Domestic"
"Which 2019 film was the first non-English movie to win Best Picture?","Parasite","Roma","Drive My Car",0,"Easy","Modern","International"
"Tom Cruise performed a HALO jump for which 'Mission Impossible'?","Fallout","Ghost Protocol","Rogue Nation",0,"Medium","Modern","Domestic"
"Which 2005 Austen adaptation stars Keira Knightley?","Pride & Prejudice","Becoming Jane","Love & Friendship",0,"Easy","Modern","Domestic"
"Which hero wields a shield in 'The Avengers'?","Iron Man","Thor","Captain America",2,"Easy","Modern","Domestic"
"Which city is the setting for 'Parasite'?","Tokyo","Seoul","Hong Kong",1,"Medium","Modern","International"
"Which country produced 'Amélie'?","Belgium","France","Switzerland",1,"Medium","Modern","International"
"Who was the DP for 'The Tree of Life'?","Lubezki","Deakins","Prieto",0,"Director Cut","Modern","Domestic"
"Which film has the longest continuous shot in history?","Russian Ark","1917","Birdman",0,"Director Cut","Modern","International"
"In 'Pan's Labyrinth', what is the protagonist's name?","Ofelia","Carmen","Mercedes",0,"Medium","Modern","International"
"Which 2023 film became the highest-grossing biopic of all time?","Oppenheimer","Elvis","Bohemian Rhapsody",0,"Easy","Modern","Domestic"
"Greta Gerwig directed which 2023 blockbuster?","Barbie","Little Women","Lady Bird",0,"Easy","Modern","Domestic"
"Which 2015 film was shot using only natural light?","The Revenant","Mad Max","Sicario",0,"Director Cut","Modern","Domestic"
"Which 1925 film features the 'Roll Dance' with two pieces of bread?","The Gold Rush","The General","Safety Last!",0,"Easy","Silent Era","Domestic"
"Who was known as the 'It Girl' of the silent screen?","Clara Bow","Mary Pickford","Lillian Gish",0,"Easy","Silent Era","Domestic"
"Which 1925 horror film stars Lon Chaney as a disfigured musical genius?","The Phantom of the Opera","Dracula","The Mummy",0,"Easy","Silent Era","Domestic"
"Buster Keaton performs a famous stunt with a falling house front in which film?","Steamboat Bill, Jr.","The Navigator","Sherlock Jr.",0,"Easy","Silent Era","Domestic"
"What was the name of Mickey Mouse's 1928 sound debut?","Steamboat Willie","Plane Crazy","The Gallopin' Gaucho",0,"Easy","Silent Era","Domestic"
"Which 1942 film features the song 'As Time Goes By'?","Casablanca","The Maltese Falcon","Notorious",0,"Easy","Golden Age","Domestic"
"Who played the title role in the 1933 film 'King Kong'?","A Giant Ape","A Dinosaur","A Giant Lizard",0,"Easy","Golden Age","Domestic"
"In 'Gone with the Wind', what is the name of Scarlett's plantation?","Tara","Twelve Oaks","Manderley",0,"Easy","Golden Age","Domestic"
"Who directed the 1960 horror classic 'Psycho'?","Alfred Hitchcock","John Ford","Howard Hawks",0,"Easy","Golden Age","Domestic"
"Which 1952 musical features Gene Kelly dancing in the rain?","Singin' in the Rain","An American in Paris","The Band Wagon",0,"Easy","Golden Age","Domestic"
"Which 1977 space epic was directed by George Lucas?","Star Wars","Close Encounters","Star Trek",0,"Easy","New Hollywood","Domestic"
"In 'The Godfather', what does Don Corleone say he will make?","An offer he can't refuse","A promise","A deal",0,"Easy","New Hollywood","Domestic"
"Which 1976 boxing film was written by and stars Sylvester Stallone?","Rocky","Raging Bull","The Champ",0,"Easy","New Hollywood","Domestic"
"Who played the lead role in the 1978 film 'Halloween'?","Jamie Lee Curtis","Sissy Spacek","Janet Leigh",0,"Easy","New Hollywood","Domestic"
"Which 1971 musical features a character named Tevye?","Fiddler on the Roof","Cabaret","Grease",0,"Easy","New Hollywood","Domestic"
"Which 1982 Spielberg film features a friendly alien and a bicycle?","E.T.","Close Encounters","Poltergeist",0,"Easy","80s","Domestic"
"Who travels back to 1955 in a DeLorean in 'Back to the Future'?","Marty McFly","Doc Brown","Biff Tannen",0,"Easy","80s","Domestic"
"In 'The Empire Strikes Back', who is revealed as Luke's father?","Darth Vader","Obi-Wan","Han Solo",0,"Easy","80s","Domestic"
"Which 1984 film features a group of scientists catching ghosts?","Ghostbusters","Gremlins","The Goonies",0,"Easy","80s","Domestic"
"Who played Indiana Jones in 'Raiders of the Lost Ark'?","Harrison Ford","Mark Hamill","Sean Connery",0,"Easy","80s","Domestic"
"Which 1993 film features an island full of cloned dinosaurs?","Jurassic Park","The Lost World","Godzilla",0,"Easy","90s","Domestic"
"Who played Jack Dawson in the 1997 film 'Titanic'?","Leonardo DiCaprio","Brad Pitt","Johnny Depp",0,"Easy","90s","Domestic"
"Which 1994 Disney film features a lion cub named Simba?","The Lion King","Aladdin","Hercules",0,"Easy","90s","Domestic"
"In 'The Matrix', what color pill does Neo take to see the truth?","Red","Blue","Green",0,"Easy","90s","Domestic"
"Who directed the 1993 Holocaust drama 'Schindler's List'?","Steven Spielberg","James Cameron","Martin Scorsese",0,"Easy","90s","Domestic"
"Which 2008 film kicked off the Marvel Cinematic Universe?","Iron Man","The Avengers","Captain America",0,"Easy","Modern","Domestic"
"Who plays the character 'Jack Sparrow' in Pirates of the Caribbean?","Johnny Depp","Orlando Bloom","Jude Law",0,"Easy","Modern","Domestic"
"Which 2013 Disney film features the song 'Let It Go'?","Frozen","Moana","Tangled",0,"Easy","Modern","Domestic"
"In 'Inception', what object does Cobb use as his totem?","A spinning top","A die","A coin",0,"Easy","Modern","Domestic"
"Which 2016 musical stars Ryan Gosling and Emma Stone?","La La Land","The Greatest Showman","Cats",0,"Easy","Modern","Domestic"
"Which 1994 film stars Jim Carrey as a bank clerk who finds a magical mask?","The Mask","Ace Ventura","Dumb and Dumber",0,"Easy","90s","Domestic"
"In the 1990 film 'Home Alone', where is Kevin's family traveling to?","Paris","London","New York",0,"Easy","90s","Domestic"
"Which 1996 film features the line, 'Show me the money!'?","Jerry Maguire","A Few Good Men","Top Gun",0,"Easy","90s","Domestic"
"Who directed the 1997 film 'Titanic'?","James Cameron","Steven Spielberg","Ridley Scott",0,"Easy","90s","Domestic"
"In 'The Breakfast Club', how many students are in Saturday detention?","5","6","4",0,"Medium","80s","Domestic"
"Which 1984 film features a karate student named Daniel LaRusso?","The Karate Kid","Rocky","Bloodsport",0,"Easy","80s","Domestic"
"Who played the lead role in the 1982 film 'Blade Runner'?","Harrison Ford","Mel Gibson","Kurt Russell",0,"Easy","80s","Domestic"
"In 'Ferris Bueller's Day Off', what is the name of Ferris's best friend?","Cameron","Sloane","Rooney",0,"Easy","80s","Domestic"
"Which 1988 Studio Ghibli film features a large, friendly forest spirit?","My Neighbor Totoro","Grave of the Fireflies","Castle in the Sky",0,"Easy","80s","International"
"Which 1982 film follows a submarine crew during WWII and is one of Germany's most famous exports?","Das Boot","Stroszek","Wings of Desire",0,"Easy","80s","International"
"Which 1988 Italian film is a love letter to cinema, following a boy and a projectionist?","Cinema Paradiso","Life is Beautiful","The Postman",0,"Easy","80s","International"
"Which 1997 Italian film stars Roberto Benigni as a father protecting his son in a camp?","Life is Beautiful","The Tiger and the Snow","Cinema Paradiso",0,"Easy","90s","International"
"Which 1998 German film features a woman sprinting through Berlin to save her boyfriend?","Run Lola Run","The Experiment","Goodbye Lenin!",0,"Easy","90s","International"
"Jackie Chan stars in which 1994 Hong Kong martial arts classic?","Drunken Master II","Police Story","Hard Boiled",0,"Easy","90s","International"
"Which 1992 film features a Mexican family and the magical effects of cooking?","Like Water for Chocolate","Amores Perros","Cronos",0,"Easy","90s","International"
"The 1948 film 'Bicycle Thieves' is a famous example of which Italian film movement?","Neorealism","Expressionism","Surrealism",0,"Easy","Golden Age","International"
"Which 1959 French New Wave film follows a rebellious young boy named Antoine Doinel?","The 400 Blows","Breathless","Hiroshima Mon Amour",0,"Medium","Golden Age","International"
"Which 1979 Australian film stars Mel Gibson as a highway patrolman in a collapsing society?","Mad Max","Gallipoli","The Cars That Ate Paris",0,"Easy","New Hollywood","International"
"Which 1966 'Spaghetti Western' stars Clint Eastwood and features a famous three-way duel?","The Good, the Bad and the Ugly","A Fistful of Dollars","Django",0,"Easy","New Hollywood","International"
"Which silent film icon was known as 'The Latin Lover'?","Rudolph Valentino","Douglas Fairbanks","Ramon Novarro",0,"Easy","Silent Era","Domestic"
"Which 1921 Charlie Chaplin film made Jackie Coogan a child star?","The Kid","The Circus","City Lights",0,"Easy","Silent Era","Domestic"
"The 1925 epic 'Ben-Hur' was famous for which thrilling sequence?","A Chariot Race","A Sea Battle","A Mountain Climb",0,"Easy","Silent Era","Domestic"
"In the 1950 film 'Sunset Blvd.', which real-life silent star plays Norma Desmond?","Gloria Swanson","Mary Pickford","Greta Garbo",0,"Easy","Silent Era","Domestic"
"In 'The Wizard of Oz' (1939), which actor was originally cast as the Tin Man before suffering a near-fatal allergic reaction to the aluminum makeup?","Buddy Ebsen","Ray Bolger","Jack Haley",0,"Director Cut","Golden Age","Domestic"
"Which 1970s conspiracy thriller was the first major motion picture to use the 'Panaglide' (a competitor to the Steadicam)?","Bound for Glory","Halloween","The Parallax View",0,"Director Cut","New Hollywood","Domestic"
"In 'Eyes Wide Shut', what is the name of the costume shop where Bill Harford rents his mask and cloak?","Rainbow Fashions","Gillespie's","Somerton",0,"Director Cut","90s","Domestic"
"Which film holds the record for the most retakes of a single scene, totaling 148 takes for a simple dialogue sequence?","The Shining","Dragon Lord","City Lights",0,"Director Cut","80s","Domestic"
"What was the specific technical reason 'The Revenant' (2015) faced massive production delays?","Shooting only in natural light","Melting snow in Canada","IMAX camera failure",1,"Director Cut","Modern","Domestic"
"How many separate hand-painted frames were required to create the 1902 masterpiece 'A Trip to the Moon' in its original color version?","13,375","8,500","22,000",0,"Director Cut","Silent Era","International"
"Which legendary cinematographer shot Tarkovsky's 'Stalker' and later claimed the film's toxic locations led to the premature deaths of the crew?","Alexander Knyazhinsky","Vadim Yusov","Georgi Rerberg",0,"Director Cut","New Hollywood","International"
"Bela Tarr's 'Sátántangó' contains only how many individual shots across its 432-minute runtime?defined","150","285","75",0,"Director Cut","90s","International"
"Which 1920s German Expressionist masterpiece used 'forced perspective' painted sets because the studio budget was too low for electricity to power high-key lighting?","The Cabinet of Dr. Caligari","Metropolis","The Last Laugh",0,"Director Cut","Silent Era","International"
"In Kurosawa's 'Ran', which specific castle was actually burned to the ground for the third act's climax because the director felt miniatures looked 'fake'?","The Third Castle","Himeji Castle","Edo Castle",0,"Director Cut","80s","International"
"Which French filmmaker is often cited as the first woman director and the first person to ever tell a fictional story on film?","Alice Guy-Blaché","Agnès Varda","Germaine Dulac",0,"Hard","Silent Era","International"
"In 1977, who became the first woman ever nominated for the Academy Award for Best Director?","Lina Wertmüller","Jane Campion","Sofia Coppola",0,"Hard","New Hollywood","International"
"Which screenwriter was the highest-paid writer in Hollywood during the silent era and won two Oscars for 'The Big House' and 'The Champ'?","Frances Marion","June Mathis","Lenore Coffee",0,"Director Cut","Silent Era","Domestic"
"Who directed the 2023 film 'Past Lives', exploring the concept of In-Yun?","Celine Song","Chloe Zhao","Lulu Wang",0,"Medium","Modern","International"
"Which legendary actress holds the record for the most Academy Award nominations for acting, totaling 21?","Meryl Streep","Katharine Hepburn","Bette Davis",0,"Easy","Modern","Domestic"
"Agnès Varda was a central figure in which influential cinematic movement?","French New Wave","Italian Neorealism","German Expressionism",0,"Medium","Golden Age","International"
"Which screenwriter and director is famous for 'When Harry Met Sally' and 'Sleepless in Seattle'?","Nora Ephron","Nancy Meyers","Greta Gerwig",0,"Easy","90s","Domestic"
"Jane Campion became the first woman to win the Palme d'Or at Cannes for which 1993 film?","The Piano","An Angel at My Table","Bright Star",0,"Medium","90s","International"
"Which 1974 film directed by Liliana Cavani stars Charlotte Rampling and remains one of the most controversial 'Night Porter' stories ever filmed?","The Night Porter","The Skin","Beyond Good and Evil",0,"Director Cut","New Hollywood","International"
"Who won the Best Actress Oscar for her role as Virginia Woolf in the 2002 film 'The Hours'?","Nicole Kidman","Julianne Moore","Meryl Streep",0,"Easy","Modern","Domestic"
"Gillian Armstrong's 1979 debut helped launch the Australian New Wave; what was the title?","My Brilliant Career","The Last Wave","Starstruck",0,"Hard","New Hollywood","International"
"Who wrote and directed the 2020 psychological thriller 'Promising Young Woman'?","Emerald Fennell","Olivia Wilde","Phoebe Waller-Bridge",0,"Medium","Modern","Domestic"
"Which silent film executive and writer is credited with 'discovering' Rudolph Valentino and editing 'The Four Horsemen of the Apocalypse'?","June Mathis","Frances Marion","Anita Loos",0,"Director Cut","Silent Era","Domestic"
"Which 2023 film directed by Greta Gerwig shattered box office records for female directors?","Barbie","Little Women","Lady Bird",0,"Easy","Modern","Domestic"
"Stuntwoman Wendy Leech, who doubled for C-3PO and Princess Leia, is the daughter of which legendary James Bond stunt coordinator?","George Leech","Vic Armstrong","Bob Simmons",0,"Easy","New Hollywood","International"
"Which actress is famous for the line 'Fasten your seatbelts, it's going to be a bumpy night' in 'All About Eve'?","Bette Davis","Joan Crawford","Audrey Hepburn",0,"Easy","Golden Age","Domestic"
"Marilyn Monroe famously sang 'Diamonds Are a Girl's Best Friend' in which 1953 musical?","Gentlemen Prefer Blondes","How to Marry a Millionaire","The Seven Year Itch",0,"Easy","Golden Age","Domestic"
"Which actor starred as the 'Rube' in the 1939 classic 'Mr. Smith Goes to Washington'?","James Stewart","Henry Fonda","Cary Grant",0,"Easy","Golden Age","Domestic"
"Humphrey Bogart and Lauren Bacall first starred together in which 1944 noir film?","To Have and Have Not","The Big Sleep","Dark Passage",0,"Easy","Golden Age","Domestic"
"Elizabeth Taylor won her first Academy Award for playing a call girl in which 1960 film?","BUtterfield 8","Cleopatra","Cat on a Hot Tin Roof",0,"Medium","Golden Age","Domestic"
"Which Preston Sturges comedy features a group of eccentric millionaires known as 'The Ale and Quail Club'?","The Palm Beach Story","The Lady Eve","Sullivan's Travels",0,"Hard","Golden Age","Domestic"
"Director Alfred Hitchcock made a cameo in nearly all his films; in 'Lifeboat' (1944), where does he appear?","In a newspaper ad","As a passenger","In a framed photo",0,"Director Cut","Golden Age","Domestic"
"Which Billy Wilder film is considered a 'perfect script' and features a protagonist named C.C. Baxter?","The Apartment","Double Indemnity","Some Like It Hot",0,"Hard","Golden Age","Domestic"
"The 'Lubitsch Touch' refers to the sophisticated, witty style of which legendary director?","Ernst Lubitsch","Howard Hawks","John Ford",0,"Medium","Golden Age","International"
"John Ford is most famous for his Westerns, often filming in which iconic Arizona-Utah location?","Monument Valley","Death Valley","Zion Canyon",0,"Medium","Golden Age","Domestic"
"Which 'Golden Age' actress and director founded her own production company, Filmmakers, to tackle gritty social issues?","Ida Lupino","Dorothy Arzner","Olivia de Havilland",0,"Hard","Golden Age","Domestic"
"Dorothy Arzner is credited with inventing the 'boom mic' by attaching a microphone to a fishing rod for which actress?","Clara Bow","Joan Crawford","Katharine Hepburn",0,"Director Cut","Golden Age","Domestic"
"Buster Keaton is famous for performing a stunt where a house wall falls on him in which film?","Steamboat Bill, Jr.","The General","Sherlock Jr.",0,"Easy","Silent Era","Domestic"
"Which 1915 D.W. Griffith film is historically significant for its technical innovation but widely condemned for its racism?","The Birth of a Nation","Intolerance","Broken Blossoms",0,"Medium","Silent Era","Domestic"
"Known as 'The Great Profile', which Barrymore family member starred in the 1920 'Dr. Jekyll and Mr. Hyde'?","John Barrymore","Lionel Barrymore","Ethel Barrymore",0,"Medium","Silent Era","Domestic"
"Which silent star was the first openly gay leading man in Hollywood, famous for 'Show People' (1928)?","William Haines","John Gilbert","Ronald Colman",0,"Hard","Silent Era","Domestic"
"Before his career was ruined by a scandalous trial, Roscoe 'Fatty' Arbuckle was a mentor to which fellow comedian?","Buster Keaton","Charlie Chaplin","Harold Lloyd",0,"Medium","Silent Era","Domestic"
"Which British-born actor was famous for his distinctive voice in 'talkies' but was a major silent star in 'Beau Geste' (1926)?","Ronald Colman","John Gilbert","Douglas Fairbanks",0,"Medium","Silent Era","International"
"John Gilbert's most famous silent-era pairing was with which legendary Swedish actress?","Greta Garbo","Ingrid Bergman","Gloria Swanson",0,"Easy","Silent Era","Domestic"
"Which silent-era star was the 'King of Hollywood' before Clark Gable, known for swashbuckling roles?","Douglas Fairbanks","John Gilbert","William Haines",0,"Easy","Silent Era","Domestic"
"Which 2011 French silent film (modern era) won the Academy Award for Best Picture?","The Artist","Amélie","The Intouchables",0,"Easy","Modern","International"
"Which 2022 Indian action epic features the hit song 'Naatu Naatu'?","RRR","Brahmāstra","Pathaan",0,"Easy","Modern","International"
"In the 2001 Japanese masterpiece 'Spirited Away', what is the name of the protagonist?","Chihiro","San","Kiki",0,"Easy","Modern","International"
"Which 2020 Danish film about four teachers experimenting with alcohol won Best International Feature?","Another Round","The Hunt","A Royal Affair",0,"Easy","Modern","International"
"The 2002 film 'City of God' depicts the growth of organized crime in which country?","Brazil","Mexico","Colombia",0,"Easy","Modern","International"
"Which 2011 Iranian drama won the Oscar for Best Foreign Language Film?","A Separation","The Salesman","Children of Heaven",0,"Easy","Modern","International"
"Which 2008 French film follows a teacher in a tough inner-city classroom?","The Class","The Intouchables","Rust and Bone",0,"Easy","Modern","International"
"Which 2003 South Korean thriller involves a man kidnapped and imprisoned for 15 years?","Oldboy","Lady Vengeance","Sympathy for Mr. Vengeance",0,"Easy","Modern","International"
"Which 2018 Japanese film about a family of small-time crooks won the Palme d'Or?","Shoplifters","Still Walking","After the Storm",0,"Easy","Modern","International"
"Which 2002 Hong Kong crime thriller was later remade as 'The Departed'?","Infernal Affairs","Hard Boiled","The Killer",0,"Easy","Modern","International"
"Which 2014 Polish film about a young nun won the Academy Award for Best Foreign Language Film?","Ida","Cold War","Corpus Christi",0,"Easy","Modern","International"
"Which 2009 Argentinian crime thriller won the Oscar for Best Foreign Language Film?","The Secret in Their Eyes","Wild Tales","Nine Queens",0,"Easy","Modern","International"
"Which 2000 Chinese martial arts epic was directed by Ang Lee?","Crouching Tiger, Hidden Dragon","Hero","House of Flying Daggers",0,"Easy","Modern","International"
"Which 2011 French comedy-drama stars François Cluzet and Omar Sy?","The Intouchables","The Artist","Populaire",0,"Easy","Modern","International"
"Which 2023 Japanese film features a toilet cleaner who loves trees and music?","Perfect Days","Monster","Drive My Car",0,"Easy","Modern","International"
"Which 2004 German film depicts the final days of Adolf Hitler?","Downfall","The Lives of Others","The Edukators",0,"Easy","Modern","International"
"Which 2023 film features a pink-clad doll traveling to the real world?","Barbie","Trolls Band Together","Wish",0,"Easy","Modern","Domestic"
"In 'The Super Mario Bros. Movie' (2023), who voices the character of Bowser?","Jack Black","Chris Pratt","Seth Rogen",0,"Easy","Modern","Domestic"
"Which 2023 blockbuster follows J. Robert Oppenheimer's role in developing the atomic bomb?","Oppenheimer","Dunkirk","Tenet",0,"Easy","Modern","Domestic"
"Which Marvel movie features Peter Quill and a group of space outlaws?","Guardians of the Galaxy","The Avengers","Iron Man",0,"Easy","Modern","Domestic"
"What is the name of the island where 'Jurassic World' (2015) takes place?","Isla Nublar","Isla Sorna","Skull Island",0,"Easy","Modern","Domestic"
"In 'Top Gun: Maverick' (2022), Tom Cruise reprises his role as which pilot?","Maverick","Iceman","Rooster",0,"Easy","Modern","Domestic"
"Which 2021 animated film features the song 'We Don't Talk About Bruno'?","Encanto","Luca","Raya and the Last Dragon",0,"Easy","Modern","Domestic"
"Who directed the 2023 epic 'Killers of the Flower Moon'?","Martin Scorsese","Steven Spielberg","Quentin Tarantino",0,"Easy","Modern","Domestic"
"In the 2019 film 'Joker', which actor won an Oscar for playing Arthur Fleck?","Joaquin Phoenix","Heath Ledger","Jared Leto",0,"Easy","Modern","Domestic"
"Which 2022 sci-fi film follows a laundromat owner jumping through the multiverse?","Everything Everywhere All at Once","Interstellar","Arrival",0,"Easy","Modern","Domestic"
"In 'Spider-Man: Across the Spider-Verse', what is the civilian name of Spider-Punk?","Hobie Brown","Miles Morales","Miguel O'Hara",0,"Easy","Modern","Domestic"
"Which 2017 horror film features a family being terrorized by a mysterious 'Sunken Place'?","Get Out","Us","Nope",0,"Easy","Modern","Domestic"
"In the 2021 film 'Dune', which actor plays the protagonist Paul Atreides?","Timothée Chalamet","Oscar Isaac","Austin Butler",0,"Easy","Modern","Domestic"
"Which 2016 musical stars Ryan Gosling and Emma Stone as lovers in Los Angeles?","La La Land","The Greatest Showman","Sing",0,"Easy","Modern","Domestic"
"Who directed the 2023 psychological thriller 'Oppenheimer'?","Christopher Nolan","Denis Villeneuve","Greta Gerwig",0,"Easy","Modern","Domestic"
"In 'Black Panther' (2018), what is the name of the hidden African nation?","Wakanda","Zamunda","Genosha",0,"Easy","Modern","Domestic"
"Which 2023 film stars Cillian Murphy as a theoretical physicist?","Oppenheimer","The Martian","Interstellar",0,"Easy","Modern","Domestic"
"Which 2022 horror film features a giant, cloud-like creature named 'Jean Jacket'?","Nope","Smile","Barbarian",0,"Easy","Modern","Domestic"
"Who directed the 1996 film 'Mission: Impossible', starring Tom Cruise?","Brian De Palma","John Woo","Christopher McQuarrie",0,"Medium","90s","Domestic"
"Which 1983 Brian De Palma film stars Al Pacino as the Cuban refugee Tony Montana?","Scarface","Carlito's Way","The Untouchables",0,"Easy","80s","Domestic"
"Christopher McQuarrie won an Oscar for writing which 1995 mystery thriller?","The Usual Suspects","Seven","Primal Fear",0,"Medium","90s","Domestic"
"Which 'Mission: Impossible' film was the first in the series directed by Christopher McQuarrie?","Rogue Nation","Fallout","Ghost Protocol",0,"Hard","Modern","Domestic"
"In 'The Fall Guy' (2024), Ryan Gosling plays a character in what profession?","Stuntman","Race Car Driver","Private Investigator",0,"Easy","Modern","Domestic"
